% Model:              single_small_gate_2deg_inalas_semi_ec.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jun 18 2023, 17:45
% Dimension:          2
% Nodes:              6138
% Expressions:        21
% Description:        Log of electron concentration
% Length unit:        m
% X,Y,semi.log10N (1) @ Tref=50, Vdc=0, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-0.25, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-0.5, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-0.75, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-1, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-1.25, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-1.5, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-1.75, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-2, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-2.25, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-2.5, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-2.75, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-3, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-3.25, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-3.5, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-3.75, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-4, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-4.25, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-4.5, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-4.75, Vg_on=1,semi.log10N (1) @ Tref=50, Vdc=-5, Vg_on=1
9.9E-6,-8.0E-8,-21.95171570817243,-21.997975219553634,-22.04961201685084,-22.10684372856618,-22.17018879705151,-22.24028331301941,-22.316670355227934,-22.39813353888943,-22.484722052912254,-22.577442645644762,-22.679651018885284,-22.796570391484273,-22.9247741404511,-23.060550632799888,-23.202033982066204,-23.348270515230972,-23.491993113449716,-23.580543239216905,-23.6439710909207,-23.698896404977777,-23.747504421229962
9.91E-6,-8.0E-8,-21.950634976959545,-21.997407721933833,-22.049616848974626,-22.10748226572238,-22.171528011472983,-22.242397044903992,-22.319627174279553,-22.40198835281759,-22.48953013325435,-22.583270177448366,-22.6866009243149,-22.804802662061313,-22.934410327699187,-23.071670887891127,-23.214697520621698,-23.3625257021743,-23.507808679569173,-23.597314670123886,-23.66142339081631,-23.716936117472034,-23.766062209165703
9.92E-6,-8.0E-8,-21.949554245745873,-21.996840224314823,-22.049621681098408,-22.10812080287779,-22.172867225892876,-22.244510776788573,-22.32258399333117,-22.40584316674575,-22.494338213597235,-22.589097709252762,-22.693550829742932,-22.813034932639145,-22.944046514948067,-23.082791142983158,-23.227361059178776,-23.376780889117626,-23.52362424568942,-23.614086101031656,-23.678875690712704,-23.7349758299655,-23.784619997103814
9.93E-6,-8.0E-8,-21.948473514532196,-21.99627272669502,-22.049626513222194,-22.10875934003399,-22.17420644031356,-22.246624508672365,-22.325540812382787,-22.40969798067391,-22.49914629393933,-22.594925241057158,-22.700500735170966,-22.821267203216188,-22.953682702196154,-23.093911398075186,-23.24002459773427,-23.391036076060953,-23.539439811809668,-23.630857531938634,-23.696327990608314,-23.753015542458964,-23.803177785039555
9.94E-6,-8.0E-8,-21.947392783318524,-21.99570522907522,-22.04963134534598,-22.109397877190194,-22.175545654734243,-22.248738240556158,-22.328497631435194,-22.41355279460207,-22.503954374280635,-22.600752772860762,-22.70745064059979,-22.829499473793227,-22.96331888944503,-23.105031653166428,-23.252688136290555,-23.40529126300349,-23.555255377929914,-23.647628962846404,-23.7137802905055,-23.771055254952433,-23.821735572976877
9.95E-6,-8.0E-8,-21.946312052104847,-21.99513773145542,-22.049636177469765,-22.110036414345604,-22.17688486915414,-22.25085197244074,-22.331454450486813,-22.41740760853023,-22.50876245462352,-22.606580304665155,-22.714400546028614,-22.83773174437027,-22.97295507669312,-23.116151908257667,-23.26535167484684,-23.419546449946818,-23.57107094405016,-23.664400393753386,-23.731232590401895,-23.789094967445898,-23.840293360913407
9.96E-6,-8.0E-8,-21.945231320891963,-21.994570233836406,-22.049641009593547,-22.110674951502595,-22.178224083575614,-22.25296570432532,-22.33441126953843,-22.42126242245839,-22.513570534965613,-22.61240783646955,-22.72135045145744,-22.8459640149481,-22.982591263941206,-23.127272163349698,-23.278015213402337,-23.433801636889356,-23.586886510169617,-23.681171824660364,-23.748684890297504,-23.80713467994015,-23.85885114884915
9.97E-6,-8.0E-8,-21.944150589678287,-21.994002736216604,-22.049645841716544,-22.111313488658794,-22.179563297995507,-22.2550794362099,-22.337368088590836,-22.42511723638655,-22.51837861530771,-22.618235368273155,-22.728300356886265,-22.85419628552514,-22.992227451190082,-23.138392418440937,-23.290678751958623,-23.448056823832683,-23.602702076289866,-23.697943255568134,-23.76613719019311,-23.825174392432828,-23.87740893678647
9.98E-6,-8.0E-8,-21.943069858464614,-21.993435238597595,-22.049650673840326,-22.111952025814208,-22.180902512416193,-22.257193168093693,-22.340324907642454,-22.428972050314712,-22.523186695649805,-22.62406290007755,-22.735250262315088,-22.862428556102973,-23.001863638438962,-23.149512673532968,-23.303342290514905,-23.46231201077601,-23.61851764241011,-23.714714686475116,-23.783589490090296,-23.843214104927085,-23.89596672472221
9.990000000000001E-6,-8.0E-8,-21.941989127250938,-21.992867740977793,-22.04965550596411,-22.112590562970407,-22.182241726836875,-22.259306899978274,-22.343281726694073,-22.432826864242873,-22.5279947759919,-22.629890431881943,-22.74220016774312,-22.870660826680805,-23.01149982568705,-23.160632928624995,-23.31600582907119,-23.47656719771934,-23.63433320852957,-23.731486117382886,-23.801041789985902,-23.86125381742055,-23.914524512660325
